feature_removed,brier,delta
Diff_DR_mean,0.17426162641051662,-0.0003607871663542095
Diff_FGM3_mean,0.1743844662586697,-0.00023794731820112047
Diff_OppBlk_mean,0.17446830938995148,-0.00015410418691935712
Diff_OppPF_mean,0.17447159156695016,-0.0001508220099206703
Diff_OppStl_mean,0.17447306162388504,-0.0001493519529857934
Diff_PointsPG,0.1744994282438479,-0.00012298533302293468
Diff_Recent_FTA_mean,0.1745362985221241,-8.611505474673264e-05
Diff_WinPct,0.17456295099198707,-5.946258488376266e-05
Diff_FGA3_mean,0.17458273889576592,-3.967468110491201e-05
Diff_OppAst_mean,0.17459651132868392,-2.5902248186909782e-05
Diff_TO_mean,0.17473032525095558,0.00010791167408474855
Diff_Recent_OppBlk_mean,0.1747338628303151,0.00011144925344427903
Diff_FTA_mean,0.17476936102482615,0.0001469474479553201
Diff_OppPointsPG,0.17478821863416533,0.00016580505729449357
Diff_OppOR_mean,0.17483767108785084,0.00021525751098000478
Diff_Stl_mean,0.17485270939044378,0.00023029581357295048
Diff_GamePossessions_mean,0.1749098484377354,0.00028743486086457715
Diff_Ast_mean,0.17492652460321695,0.00030411102634611553
Diff_Blk_mean,0.17493880783691246,0.00031639426004162474
Diff_GamesPlayed,0.17495603404043675,0.00033362046356591457
Diff_PredictedCooperRating,0.1749898297806534,0.0003674162037825557
Diff_OffensiveRating_mean,0.17502343533118875,0.0004010217543179151
Diff_FGM_mean,0.1750327647398156,0.00041035116294477203
Diff_OppFTM_mean,0.1750516289533892,0.00042921537651835484
Diff_OppFTA_mean,0.17505732811750985,0.00043491454063901425
Diff_OppFGA_mean,0.17507088786329103,0.0004484742864201974
Diff_FGA_mean,0.17511619806903,0.0004937844921591716
Diff_FTM_mean,0.17511956414097635,0.0004971505641055141
Diff_Recent_PointsPG,0.1751572435384955,0.0005348299616246555
Diff_Recent_Ast_mean,0.1751709964369024,0.0005485828600315656
Diff_Recent_OppPF_mean,0.17518138396161087,0.0005589703847400374
Diff_SeedNum,0.17521206049135465,0.0005896469144838212
Diff_Recent_OppAst_mean,0.1752198094874873,0.0005973959106164717
Diff_OppDR_mean,0.17522442688097442,0.000602013304103588
Diff_PF_mean,0.17524340668121824,0.000620993104347406
Diff_Recent_FGM3_mean,0.175248125637827,0.0006257120609561573
Diff_Recent_OppStl_mean,0.17525333521482211,0.0006309216379512816
Diff_Recent_GamePossessions_mean,0.17525579442122954,0.0006333808443587108
Diff_OppTO_mean,0.1752572938838009,0.000634880306930069
Diff_Recent_WinPct,0.17527020401298551,0.0006477904361146813
Diff_Recent_Blk_mean,0.17527678458600063,0.000654371009129795
B_PredictedCooperRating,0.17529309342314578,0.0006706798462749464
Diff_Recent_FTM_mean,0.17533928150875527,0.0007168679318844406
Diff_Recent_DR_mean,0.17535723315950394,0.0007348195826331061
Diff_Recent_NetRating_mean,0.1753574088666262,0.0007349952897553746
Diff_DefensiveRating_mean,0.17536167834639302,0.0007392647695221854
Diff_Recent_OppTO_mean,0.17540349267097827,0.0007810790941074341
Diff_Recent_OR_mean,0.17540500375089058,0.0007825901740197427
Diff_Recent_TO_mean,0.17542372867786848,0.0008013151009976516
A_PredictedCooperRating,0.1754279840072724,0.0008055704304015532
Diff_Recent_OppFGM_mean,0.17542919309422897,0.000806779517358136
Diff_Recent_OppPointsPG,0.1754380989760717,0.0008156853992008772
Diff_Recent_FGM_mean,0.17545936853653815,0.0008369549596673187
Diff_OppFGM3_mean,0.1754666201068626,0.0008442065299917589
Diff_Recent_OppDR_mean,0.17553539711575977,0.0009129835388889396
Diff_NetRating_mean,0.17557046807693327,0.0009480545000624396
Diff_Recent_OffensiveRating_mean,0.17557410550623256,0.000951691929361731
Diff_Recent_FGA3_mean,0.17558332040159821,0.0009609068247273811
Diff_Recent_GamesPlayed,0.1756008424113222,0.0009784288344513725
Diff_Recent_OppFGA_mean,0.17561723713176633,0.0009948235548954965
Diff_Recent_Stl_mean,0.17563894073611186,0.0010165271592410263
Diff_Recent_DefensiveRating_mean,0.17566804716020107,0.0010456335833302355
Diff_Recent_OppOR_mean,0.1756931435088745,0.0010707299320036612
IsMen,0.17569711598397253,0.0010747024071016964
Diff_Recent_FGA_mean,0.1757223083179396,0.0010998947410687798
Diff_OR_mean,0.17575747709570297,0.0011350635188321356
Diff_Recent_OppFGM3_mean,0.17578727386502505,0.0011648602881542125
Diff_Recent_OppFTA_mean,0.17581205784619522,0.0011896442693243858
Diff_Recent_OppFGA3_mean,0.17583690845860167,0.0012144948817308376
Diff_Recent_PF_mean,0.1758799757360875,0.0012575621592166575
B_SeedNum,0.17588363049561112,0.0012612169187402877
Diff_Recent_OppFTM_mean,0.17589162467363129,0.001269211096760453
A_SeedNum,0.17593936963490536,0.0013169560580345296
Diff_OppFGA3_mean,0.17603286891326125,0.0014104553363904204
Diff_OppFGM_mean,0.1760756359339086,0.0014532223570377645
Diff_SOS,0.1769742321106027,0.0023518185337318698
